You have specified parameters: no discretization, #fea=147 selection method=MID #maxVar=10000 #maxSample=2000

Target classification variable (#1 column in the input data) has name=class 	entropy score=1.000

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
34 	 91 	 polarizability.Train.residue75 	 0.000
35 	 121 	 secondarystruct.Train.residue75 	 0.000
36 	 95 	 polarizability.2.residue50 	 0.000
37 	 98 	 polarizability.3.residue0 	 0.000
38 	 99 	 polarizability.3.residue25 	 0.000
39 	 96 	 polarizability.2.residue75 	 0.000
40 	 93 	 polarizability.2.residue0 	 0.000
41 	 94 	 polarizability.2.residue25 	 0.000
42 	 113 	 charge.3.residue0 	 0.000
43 	 82 	 polarity.2.residue100 	 0.000
44 	 139 	 solventaccess.2.residue25 	 0.000
45 	 141 	 solventaccess.2.residue75 	 0.000
46 	 134 	 solventaccess.Train.residue25 	 0.000
47 	 135 	 solventaccess.Train.residue50 	 0.000
48 	 136 	 solventaccess.Train.residue75 	 0.000
49 	 137 	 solventaccess.Train.residue100 	 0.000
50 	 138 	 solventaccess.2.residue0 	 0.000
51 	 132 	 secondarystruct.3.residue100 	 0.000
52 	 140 	 solventaccess.2.residue50 	 0.000
53 	 131 	 secondarystruct.3.residue75 	 0.000
54 	 142 	 solventaccess.2.residue100 	 0.000
55 	 143 	 solventaccess.3.residue0 	 0.000
56 	 144 	 solventaccess.3.residue25 	 0.000
57 	 145 	 solventaccess.3.residue50 	 0.000
58 	 146 	 solventaccess.3.residue75 	 0.000
59 	 24 	 hydrophobicity_PRAM900101.Tr2332 	 0.000
60 	 133 	 solventaccess.Train.residue0 	 0.000
61 	 115 	 charge.3.residue50 	 0.000
62 	 122 	 secondarystruct.Train.residue100 	 0.000
63 	 124 	 secondarystruct.2.residue25 	 0.000
64 	 117 	 charge.3.residue100 	 0.000
65 	 118 	 secondarystruct.Train.residue0 	 0.000
66 	 119 	 secondarystruct.Train.residue25 	 0.000
67 	 120 	 secondarystruct.Train.residue50 	 0.000
68 	 74 	 polarity.Train.residue25 	 0.000
69 	 116 	 charge.3.residue75 	 0.000
70 	 8 	 polarity.G2 	 0.000
71 	 123 	 secondarystruct.2.residue0 	 0.000
72 	 130 	 secondarystruct.3.residue50 	 0.000
73 	 125 	 secondarystruct.2.residue50 	 0.000
74 	 126 	 secondarystruct.2.residue75 	 0.000
75 	 127 	 secondarystruct.2.residue100 	 0.000
76 	 128 	 secondarystruct.3.residue0 	 0.000
77 	 129 	 secondarystruct.3.residue25 	 0.000
78 	 83 	 polarity.3.residue0 	 0.000
79 	 1 	 hydrophobicity_PRAM900101.G1 	 0.000
80 	 36 	 charge.Tr2332 	 0.000
81 	 37 	 secondarystruct.Tr1221 	 0.000
82 	 29 	 polarity.Tr1331 	 0.000
83 	 32 	 polarizability.Tr1331 	 0.000
84 	 35 	 charge.Tr1331 	 0.000
85 	 21 	 solventaccess.G3 	 0.000
86 	 39 	 secondarystruct.Tr2332 	 0.000
87 	 40 	 solventaccess.Tr1221 	 0.000
88 	 42 	 solventaccess.Tr2332 	 0.000
89 	 43 	 hydrophobicity_PRAM900101.Train.residue0 	 0.000
90 	 44 	 hydrophobicity_PRAM900101.Train.residue25 	 0.000
91 	 27 	 normwaalsvolume.Tr2332 	 0.000
92 	 46 	 hydrophobicity_PRAM900101.Train.residue75 	 0.000
93 	 23 	 hydrophobicity_PRAM900101.Tr1331 	 0.000
94 	 12 	 polarizability.G3 	 0.000
95 	 3 	 hydrophobicity_PRAM900101.G3 	 0.000
96 	 5 	 normwaalsvolume.G2 	 0.000
97 	 6 	 normwaalsvolume.G3 	 0.000
98 	 7 	 polarity.G1 	 0.000
99 	 9 	 polarity.G3 	 0.000
100 	 48 	 hydrophobicity_PRAM900101.2.residue0 	 0.000
101 	 20 	 solventaccess.G2 	 0.000
102 	 13 	 charge.G1 	 0.000
103 	 15 	 charge.G3 	 0.000
104 	 16 	 secondarystruct.G1 	 0.000
105 	 17 	 secondarystruct.G2 	 0.000
106 	 18 	 secondarystruct.G3 	 0.000
107 	 45 	 hydrophobicity_PRAM900101.Train.residue50 	 0.000
108 	 81 	 polarity.2.residue75 	 0.000
109 	 47 	 hydrophobicity_PRAM900101.Train.residue100 	 0.000
110 	 72 	 normwaalsvolume.3.residue100 	 0.000
111 	 11 	 polarizability.G2 	 0.000
112 	 73 	 polarity.Train.residue0 	 0.000
113 	 67 	 normwaalsvolume.2.residue100 	 0.000
114 	 68 	 normwaalsvolume.3.residue0 	 0.000
115 	 69 	 normwaalsvolume.3.residue25 	 0.000
116 	 70 	 normwaalsvolume.3.residue50 	 0.000
117 	 71 	 normwaalsvolume.3.residue75 	 0.000
118 	 65 	 normwaalsvolume.2.residue50 	 0.000
119 	 63 	 normwaalsvolume.2.residue0 	 0.000
120 	 75 	 polarity.Train.residue50 	 0.000
121 	 76 	 polarity.Train.residue75 	 0.000
122 	 77 	 polarity.Train.residue100 	 0.000
123 	 78 	 polarity.2.residue0 	 0.000
124 	 79 	 polarity.2.residue25 	 0.000
125 	 66 	 normwaalsvolume.2.residue75 	 0.000
126 	 80 	 polarity.2.residue50 	 0.000
127 	 64 	 normwaalsvolume.2.residue25 	 0.000
128 	 55 	 hydrophobicity_PRAM900101.3.residue50 	 0.000
129 	 56 	 hydrophobicity_PRAM900101.3.residue75 	 0.000
130 	 50 	 hydrophobicity_PRAM900101.2.residue50 	 0.000
131 	 51 	 hydrophobicity_PRAM900101.2.residue75 	 0.000
132 	 52 	 hydrophobicity_PRAM900101.2.residue100 	 0.000
133 	 53 	 hydrophobicity_PRAM900101.3.residue0 	 0.000
134 	 54 	 hydrophobicity_PRAM900101.3.residue25 	 0.000
135 	 49 	 hydrophobicity_PRAM900101.2.residue25 	 0.000
136 	 62 	 normwaalsvolume.Train.residue100 	 0.000
137 	 57 	 hydrophobicity_PRAM900101.3.residue100 	 0.000
138 	 58 	 normwaalsvolume.Train.residue0 	 0.000
139 	 59 	 normwaalsvolume.Train.residue25 	 0.000
140 	 60 	 normwaalsvolume.Train.residue50 	 0.000
141 	 61 	 normwaalsvolume.Train.residue75 	 0.000
142 	 147 	 solventaccess.3.residue100 	 0.000
143 	 31 	 polarizability.Tr1221 	 -0.000
144 	 10 	 polarizability.G1 	 -0.000
145 	 28 	 polarity.Tr1221 	 -0.000
146 	 25 	 normwaalsvolume.Tr1221 	 -0.001
147 	 4 	 normwaalsvolume.G1 	 -0.001


 *** This program and the respective minimum Redundancy Maximum Relevance (mRMR) 
     algorithm were developed by Hanchuan Peng <hanchuan.peng@gmail.com>for
     the paper 
     "Feature selection based on mutual information: criteria of 
      max-dependency, max-relevance, and min-redundancy,"
      Hanchuan Peng, Fuhui Long, and Chris Ding, 
      IEEE Transactions on Pattern Analysis and Machine Intelligence,
      Vol. 27, No. 8, pp.1226-1238, 2005.

